Configuration,Language,File Path,Successfully Extracted,Failure Reason
.github/workflows/codeql-analysis.yml:analyze/language:go,Go,Season-2/Level-2/code.go,true,""
.github/workflows/codeql-analysis.yml:analyze/language:go,Go,Season-2/Level-2/solution/solution.go,true,""
.github/workflows/codeql-analysis.yml:analyze/language:go,Go,Season-2/Level-2/hack_test.go,false,""
.github/workflows/codeql-analysis.yml:analyze/language:go,Go,Season-2/Level-2/solution/solution_test.go,false,""
.github/workflows/codeql-analysis.yml:analyze/language:go,Go,Season-2/Level-2/code_test.go,false,""
.github/workflows/codeql-analysis.yml:analyze/language:javascript,JavaScript,Season-2/Level-4/solution.js,true,""
.github/workflows/codeql-analysis.yml:analyze/language:javascript,JavaScript,Season-2/Level-4/tests.js,true,""
.github/workflows/codeql-analysis.yml:analyze/language:javascript,JavaScript,Season-2/Level-4/code.js,true,""
.github/workflows/codeql-analysis.yml:analyze/language:javascript,JavaScript,Season-2/Level-5/hack-1.js,true,""
.github/workflows/codeql-analysis.yml:analyze/language:javascript,JavaScript,Season-2/Level-5/hack-2.js,true,""
.github/workflows/codeql-analysis.yml:analyze/language:javascript,JavaScript,Season-2/Level-5/hack-3.js,true,""
.github/workflows/codeql-analysis.yml:analyze/language:javascript,JavaScript,Season-1/Level-1/hint.js,true,""
.github/workflows/codeql-analysis.yml:analyze/language:javascript,JavaScript,Season-2/Level-5/solution.js,true,""
.github/workflows/codeql-analysis.yml:analyze/language:javascript,JavaScript,Season-2/Level-5/code.js,true,""
.github/workflows/codeql-analysis.yml:analyze/language:javascript,JavaScript,Season-2/Level-4/hack.js,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-1/solution.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-3/solution.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-3/tests.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-4/hint.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-2/Level-3/code.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-5/hack.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-5/solution.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-2/Level-3/tests.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-1/tests.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-1/hack.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-3/code.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-4/code.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-4/hack.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-5/tests.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-1/code.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-3/hack.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-4/solution.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-4/tests.py,true,""
.github/workflows/codeql-analysis.yml:analyze/language:python,Python,Season-1/Level-5/code.py,true,""
